date,goal_daily_amount,goal_daily_quantity,goal_total_amount,goal_total_quantity,
2026-02-10,1644258,44,127448375,3695,
2026-02-11,1687500,45,129135875,3743,
2026-02-12,1425000,38,130560875,3778,
2026-02-13,1569519,42,132132019,3820,
2026-02-14,1594432,43,133726451,3862,
2026-02-15,1494780,40,135221231,3902,
2026-02-16,1370215,37,136591446,3939,
2026-02-17,1694084,45,138285530,3984,
2026-02-18,1569519,42,139855049,4026,
2026-02-19,1893388,50,141748437,4076,
2026-02-20,1245650,33,142994087,4109,
2026-02-21,2064220,55,145058307,4164,
2026-02-22,2776020,74,147834327,4238,
2026-02-23,3131920,84,150966247,4322,
2026-02-24,3559000,95,154525247,4417,
2026-02-25,3487820,93,158013067,4510,
2026-02-26,4377570,117,162390637,4627,
2026-02-27,7616260,203,170006897,4830,